Specification	O	Path	Controller	Action	TODO			
Key	activities	1	G	/api/activities/{BusinessPlan}	Activities	MyActivities		
Key	activities	2	D	/api/activities/categories{resource}	Activities	DeleteMe		
Key	activities	3	G	/api/activities/categories	Activities	Categories		
Key	activities	4	P	/api/activities/save	Activities	Save		
Key	activities	5	P	/api/plans/changeActivitiesCompleted	UserBusinessPlan	ChangeActivitiesCompleted		
Slack		2021.08.13	12:54	PM	P	/api/plans/update	UserBusinessPlan	Update
Business	start-up	investments	1	G	api/kres/investment/{BusinessPlan}	KeyResources	Myinvestments	
Business	start-up	investments	2	P	api/kres/investment/update	KeyResources	Updateinvestments	
Business	start-up	investments	3	P	/api/plans/changeBusinessInvestmentsCompleted	UserBusinessPlan	ChangeBusinessInvestmentsCompleted	
Fixed	and	Variable	Costs	1	G	/api/costsvf/{BusinessPlan}	Cost	MyVFCosts
Fixed	and	Variable	Costs	2	P	/api/costsvf/save	Cost	SaveVF
Fixed	and	Variable	Costs	3	P	/api/plans/changeFixedVariableCompleted	UserBusinessPlan	ChangeFixedVariableCompleted
	G	/api/cost/vat/{Country}	Cost	Vats				
Sales	forecast	1	G	/api/products/salesforecasts/{BusinessPlan}	Product	MyForecasts		
Sales	forecast	2	P	/api/products/salesforecasts/update	Product	Sfupdate		
Sales	forecast	3	P	/api/plans/changeSalesForecastCompleted	UserBusinessPlan	ChangeSalesForecastCompleted		
	G	/api/plans/cashflow/{BusinessPlan}	UserBusinessPlan	Mycashflow				
	G	/api/plans/necessaryCapital/{BusinessPlan}	UserBusinessPlan	MynecessaryCapital				
	P	/api/plans/investmentSaveRecalc	UserBusinessPlan	MySaveRecalc				
	G	api/kres/assets/{BusinessPlan	KeyResources	MyAssets				
	P	api/kres/assets/save	KeyResources	MyAssetsSave				
	P	/quest/personal/save	Questionaire	MyPersonalSave				
	G	/quest/personal/{BusinessPlan}	Questionaire	MyPersonalCharacteristics				
Assets	1	G	api/kres/assets/{BusinessPlan}	KeyResources	MyAssets			
Assets	2	P	api/kres/assets/save	KeyResources	MyAssetsSave			
Assets	3	P	/api/plans/changeAssetsCompleted	UserBusinessPlan	changeAssetsCompleted			
	G	/api/nace/wood	NACE	GetIndustriesWood				
	G	/api/nace/risks/{activityId}	NACE	GetRisks				
	P	/api/plans/predict	UserBusinessPlan	MyPredict				
	G	/api/plans/startAItraining	UserBusinessPlan	startAItraining	TEMPORARY!!!!			
